Member_number,Date,itemDescription
1012,19-11-2015,onions
1012,19-11-2015,rolls/buns
1012,19-11-2015,root vegetables
1012,19-11-2015,shopping bags
1012,19-11-2015,tropical fruit
1012,22-06-2014,brown bread
1012,22-06-2014,frozen vegetables
1012,27-03-2015,processed cheese
1012,27-03-2015,whole milk
1013,02-07-2015,frozen meals
1013,02-07-2015,whole milk
1013,02-10-2015,domestic eggs
1013,02-10-2015,meat
1013,02-10-2015,roll products 
1013,02-10-2015,white bread
1013,12-11-2014,mayonnaise
1013,12-11-2014,root vegetables
1013,15-07-2014,mustard
1013,15-07-2014,other vegetables
1013,17-01-2014,bottled water
1013,17-01-2014,hard cheese
1013,17-01-2014,napkins
1013,20-02-2014,candy
1013,20-02-2014,whole milk
1013,26-03-2014,frozen vegetables
1013,26-03-2014,tropical fruit
1013,28-03-2014,mustard
1013,28-03-2014,whipped/sour cream
1014,03-10-2015,bottled beer
1014,03-10-2015,sausage
1014,03-10-2015,whole milk
1014,03-10-2015,yogurt
1014,04-01-2015,canned beer
1014,04-01-2015,cookware
1014,04-09-2014,butter milk
1014,04-09-2014,hamburger meat
1014,06-10-2014,rolls/buns
1014,06-10-2014,whole milk
1015,04-05-2015,citrus fruit
1015,04-05-2015,whole milk
1015,22-03-2015,beef
1015,22-03-2015,salty snack
1015,28-06-2014,chocolate
1015,28-06-2014,fruit/vegetable juice
1015,28-06-2014,rolls/buns
1016,05-10-2015,UHT-milk
1016,05-10-2015,bottled beer
1016,19-07-2015,chicken
1016,19-07-2015,red/blush wine
1016,23-04-2015,pip fruit
1016,23-04-2015,soft cheese
1016,30-09-2015,frankfurter
1016,30-09-2015,mayonnaise
1016,30-09-2015,oil
1016,30-09-2015,pip fruit
1016,30-09-2015,rolls/buns
1017,14-10-2014,brown bread
1017,14-10-2014,pet care
1017,16-05-2015,other vegetables
1017,16-05-2015,rolls/buns
1017,19-06-2014,beef
1017,19-06-2014,yogurt
1017,21-02-2014,other vegetables
1017,21-02-2014,root vegetables
1017,30-09-2015,dessert
1017,30-09-2015,shopping bags
1017,30-09-2015,soda
1018,01-10-2014,curd
1018,01-10-2014,long life bakery product
1018,15-04-2014,beverages
1018,15-04-2014,domestic eggs
1018,23-05-2015,butter milk
1018,23-05-2015,root vegetables
1018,27-05-2014,berries
1018,27-05-2014,cake bar
1019,10-12-2014,hamburger meat
1019,10-12-2014,red/blush wine
1020,12-08-2014,canned beer
1020,12-08-2014,shopping bags
1020,13-10-2015,canned beer
1020,13-10-2015,frozen fish
1020,13-10-2015,rolls/buns
1020,13-10-2015,spices
1020,19-07-2014,butter
1020,19-07-2014,frozen meals
1020,19-07-2014,newspapers
1020,19-07-2014,yogurt
1021,07-11-2015,baking powder
1021,07-11-2015,rolls/buns
1021,22-10-2015,curd
1021,22-10-2015,liquor
1021,22-10-2015,tropical fruit
1021,22-10-2015,yogurt
1021,30-05-2014,butter
1021,30-05-2014,sliced cheese
1022,07-06-2014,fruit/vegetable juice
1022,07-06-2014,sausage
1022,22-02-2014,beef
1022,22-02-2014,napkins
1022,25-03-2014,whipped/sour cream
1022,25-03-2014,whole milk
1023,06-01-2015,packaged fruit/vegetables
1023,06-01-2015,rolls/buns
1023,06-01-2015,root vegetables
1023,06-01-2015,whipped/sour cream
1023,13-06-2014,domestic eggs
1023,13-06-2014,soda
1023,17-05-2014,chicken
1023,17-05-2014,frozen meals
1023,22-05-2014,curd
1023,22-05-2014,male cosmetics
1023,28-06-2015,berries
1023,28-06-2015,bottled beer
1023,28-06-2015,white bread
1023,28-06-2015,yogurt
1023,30-12-2014,sausage
1023,30-12-2014,specialty bar
1023,30-12-2014,whipped/sour cream
1024,10-08-2015,fish
1024,10-08-2015,other vegetables
1024,10-08-2015,root vegetables
1024,10-08-2015,tropical fruit
1025,06-02-2014,coffee
1025,06-02-2014,shopping bags
1025,10-03-2014,cream cheese 
1025,10-03-2014,ham
1025,19-08-2015,UHT-milk
1025,19-08-2015,canned beer
1026,08-03-2014,dessert
1026,08-03-2014,pickled vegetables
1026,08-03-2014,rolls/buns
1026,08-03-2014,sausage
1026,15-03-2015,butter
1026,15-03-2015,candy
1026,15-03-2015,dental care
1026,15-03-2015,fruit/vegetable juice
1026,15-03-2015,salty snack
1026,18-06-2014,long life bakery product
1026,18-06-2014,root vegetables
1026,23-08-2014,citrus fruit
1026,23-08-2014,yogurt
1026,28-05-2015,canned beer
1026,28-05-2015,root vegetables
1026,28-05-2015,root vegetables
1026,28-05-2015,whipped/sour cream
1027,14-05-2014,salt
1027,14-05-2014,softener
1027,14-05-2014,whole milk
1027,17-05-2015,hamburger meat
1027,17-05-2015,pork
1027,22-09-2014,bottled water
1027,22-09-2014,rolls/buns
1027,25-02-2015,red/blush wine
1027,25-02-2015,rolls/buns
1028,02-06-2015,canned beer
1028,02-06-2015,flower (seeds)
1028,02-06-2015,onions
1028,05-04-2014,rolls/buns
1028,05-04-2014,sugar
1028,10-11-2014,butter
1028,10-11-2014,soda
1028,11-07-2015,root vegetables
1028,11-07-2015,specialty chocolate
1028,24-04-2014,baking powder
1028,24-04-2014,bottled water
1028,24-04-2014,onions
1028,24-04-2014,rolls/buns
1029,14-03-2015,dessert
1029,14-03-2015,ham
1031,04-03-2014,ice cream
1031,04-03-2014,pot plants
1031,15-10-2015,berries
1031,15-10-2015,other vegetables
1031,15-10-2015,other vegetables
1031,26-08-2015,beverages
1031,26-08-2015,cream cheese 
1032,13-07-2015,ice cream
1032,13-07-2015,whipped/sour cream
1032,15-06-2015,berries
1032,15-06-2015,butter
1032,15-06-2015,cream cheese 
1032,15-06-2015,other vegetables
1032,15-06-2015,soda
1032,15-06-2015,white bread
1032,23-08-2015,root vegetables
1032,23-08-2015,yogurt
1032,23-09-2014,pastry
1032,23-09-2014,shopping bags
1032,23-09-2014,white bread
1032,23-09-2014,whole milk
1032,26-01-2014,newspapers
1032,26-01-2014,whipped/sour cream
1033,02-03-2014,frankfurter
1033,02-03-2014,pastry
1033,15-06-2015,chicken
1033,15-06-2015,waffles
1033,18-04-2014,dessert
1033,18-04-2014,fruit/vegetable juice
1033,21-04-2014,rolls/buns
1033,21-04-2014,sausage
1033,21-04-2014,snack products
1033,22-04-2015,rolls/buns
1033,22-04-2015,soda
1033,22-04-2015,tropical fruit
1034,13-05-2014,newspapers
1034,13-05-2014,tropical fruit
1034,24-02-2014,cat food
1034,24-02-2014,cling film/bags
1034,24-02-2014,pip fruit
1034,24-02-2014,yogurt
1034,28-04-2014,bottled water
1034,28-04-2014,domestic eggs
1034,28-04-2014,frozen meals
1035,08-09-2015,newspapers
1035,08-09-2015,whole milk
1035,15-08-2014,pip fruit
1035,15-08-2014,salt
1035,15-08-2014,white bread
1035,15-08-2014,white wine
1035,23-05-2015,frozen vegetables
1035,23-05-2015,sausage
1035,24-04-2015,rolls/buns
1035,24-04-2015,whole milk
1035,24-04-2015,yogurt
1035,24-04-2015,yogurt
1035,25-06-2014,frozen vegetables
1035,25-06-2014,whole milk
1036,20-01-2014,fruit/vegetable juice
1036,20-01-2014,vinegar
1037,06-06-2014,cake bar
1037,06-06-2014,chewing gum
1037,06-06-2014,citrus fruit
1037,06-06-2014,shopping bags
1037,16-12-2015,canned beer
1037,16-12-2015,frankfurter
1037,16-12-2015,yogurt
1037,24-02-2014,rolls/buns
1037,24-02-2014,tropical fruit
1037,24-02-2014,white bread
1038,02-04-2015,pip fruit
1038,02-04-2015,whipped/sour cream
1038,02-04-2015,whole milk
1038,10-04-2015,other vegetables
1038,10-04-2015,specialty chocolate
1038,14-12-2015,Instant food products
1038,14-12-2015,butter
1038,14-12-2015,cake bar
1038,14-12-2015,whipped/sour cream
1038,21-02-2015,butter
1038,21-02-2015,fruit/vegetable juice
1038,21-02-2015,pork
1038,21-02-2015,sausage
1038,21-02-2015,whole milk
1038,23-04-2015,frozen meals
1038,23-04-2015,herbs
1038,23-04-2015,pip fruit
1038,28-01-2014,margarine
1038,28-01-2014,napkins
1039,31-05-2015,rolls/buns
1039,31-05-2015,salty snack
1040,03-09-2014,pasta
1040,03-09-2014,rolls/buns
1040,03-09-2014,whole milk
1040,14-06-2014,rolls/buns
1040,14-06-2014,yogurt
1040,24-10-2014,root vegetables
1040,24-10-2014,white bread
1040,26-11-2015,chicken
1040,26-11-2015,onions
1040,26-11-2015,packaged fruit/vegetables
1040,26-11-2015,tropical fruit
1041,02-04-2015,hamburger meat
1041,02-04-2015,yogurt
1041,07-07-2014,dessert
1041,07-07-2014,prosecco
1041,13-06-2014,candy
1041,13-06-2014,chicken
1041,13-06-2014,frozen vegetables
1041,29-06-2014,brown bread
1041,29-06-2014,tropical fruit
1041,29-06-2014,whole milk
1042,12-02-2015,beef
1042,12-02-2015,dessert
1042,16-10-2015,other vegetables
1042,16-10-2015,whole milk
1042,22-05-2015,bottled water
1042,22-05-2015,citrus fruit
1043,10-01-2015,citrus fruit
1043,10-01-2015,rolls/buns
1043,10-01-2015,whole milk
1043,14-03-2014,sliced cheese
1043,14-03-2014,tropical fruit
1043,16-06-2014,chocolate marshmallow
1043,16-06-2014,napkins
1043,16-06-2014,whole milk
1044,09-02-2015,other vegetables
1044,09-02-2015,tropical fruit
1044,25-10-2015,curd
1044,25-10-2015,root vegetables
1045,10-04-2014,Instant food products
1045,10-04-2014,fruit/vegetable juice
1045,10-04-2014,specialty chocolate
1045,12-01-2014,butter
1045,12-01-2014,root vegetables
1045,12-01-2014,yogurt
1045,12-01-2014,yogurt
1045,25-11-2015,chicken
1045,25-11-2015,onions
1046,18-06-2015,pastry
1046,18-06-2015,whole milk
1046,24-06-2015,bottled water
1046,24-06-2015,pork
1047,04-01-2015,curd
1047,04-01-2015,soda
1047,09-08-2015,butter
1047,09-08-2015,sweet spreads
1047,17-12-2014,pip fruit
1047,17-12-2014,soda
1048,06-10-2015,condensed milk
1048,06-10-2015,rolls/buns
1048,06-10-2015,soda
1048,06-10-2015,whole milk
1048,18-10-2015,rolls/buns
1048,18-10-2015,tropical fruit
1049,01-07-2015,butter
1049,01-07-2015,whole milk
1049,04-08-2015,candy
1049,04-08-2015,white bread
1049,05-09-2015,frankfurter
1049,05-09-2015,herbs
1049,07-01-2014,margarine
1049,07-01-2014,specialty bar
1050,04-05-2015,meat
1050,04-05-2015,whole milk
1050,06-03-2014,house keeping products
1050,06-03-2014,yogurt
1050,10-10-2014,hygiene articles
1050,10-10-2014,whipped/sour cream
1050,12-10-2014,UHT-milk
1050,12-10-2014,dishes
1050,12-10-2014,other vegetables
1050,15-02-2014,beverages
1050,15-02-2014,waffles
1050,30-05-2014,cat food
1050,30-05-2014,pasta
1050,30-05-2014,yogurt
1051,10-11-2015,cream cheese 
1051,10-11-2015,fish
1051,10-11-2015,red/blush wine
1051,10-11-2015,tropical fruit
1051,12-08-2015,dishes
1051,12-08-2015,other vegetables
1051,12-08-2015,rolls/buns
1051,12-08-2015,soda
1051,12-10-2015,female sanitary products
1051,12-10-2015,hamburger meat
1051,12-10-2015,other vegetables
1051,12-10-2015,popcorn
1051,12-10-2015,tropical fruit
1051,13-01-2014,bottled beer
1051,13-01-2014,hamburger meat
1051,17-09-2014,coffee
1051,17-09-2014,frozen vegetables
1051,17-09-2014,pork
1051,26-12-2014,shopping bags
1051,26-12-2014,shopping bags
1052,04-01-2014,beef
1052,04-01-2014,shopping bags
1052,05-12-2014,hamburger meat
1052,05-12-2014,soda
1052,06-07-2015,butter milk
1052,06-07-2015,margarine
1052,06-07-2015,yogurt
1052,06-07-2015,yogurt
1052,13-10-2014,soda
1052,13-10-2014,whole milk
1052,15-01-2014,grapes
1052,15-01-2014,root vegetables
1052,15-05-2015,frankfurter
1052,15-05-2015,whipped/sour cream
1052,20-11-2014,bottled water
1052,20-11-2014,chewing gum
1052,24-03-2014,beverages
1052,24-03-2014,chicken
1052,24-03-2014,coffee
1052,27-10-2015,detergent
1052,27-10-2015,other vegetables
1052,27-10-2015,pork
1052,27-10-2015,shopping bags
1052,27-10-2015,soft cheese
1052,27-10-2015,yogurt
1052,29-09-2014,butter
1052,29-09-2014,dog food
1053,05-11-2014,chicken
1053,05-11-2014,frozen vegetables
1053,09-07-2015,hamburger meat
1053,09-07-2015,pastry
1053,10-12-2014,other vegetables
1053,10-12-2014,whole milk
1053,16-05-2014,rolls/buns
1053,16-05-2014,waffles
1053,23-05-2014,sugar
1053,23-05-2014,whole milk
1053,30-04-2014,soda
1053,30-04-2014,soda
1054,02-09-2015,bottled beer
1054,02-09-2015,oil
1054,04-10-2015,citrus fruit
1054,04-10-2015,frankfurter
1054,04-10-2015,margarine
1054,16-01-2014,fruit/vegetable juice
1054,16-01-2014,soda
1054,21-10-2015,other vegetables
1054,21-10-2015,photo/film
1055,05-08-2014,pork
1055,05-08-2014,white wine
1055,25-05-2015,bottled water
1055,25-05-2015,newspapers
1055,25-05-2015,soda
1055,25-05-2015,yogurt
1056,09-11-2015,meat spreads
1056,09-11-2015,whipped/sour cream
1056,13-09-2015,other vegetables
1056,13-09-2015,pip fruit
1056,24-09-2014,ham
1056,24-09-2014,whole milk
1057,05-03-2014,pickled vegetables
1057,05-03-2014,salty snack
1057,06-01-2014,domestic eggs
1057,06-01-2014,sliced cheese
1057,06-01-2014,soda
1057,06-01-2014,soda
1057,08-06-2014,UHT-milk
1057,08-06-2014,tropical fruit
1058,06-04-2015,bottled water
1058,06-04-2015,sausage
1058,07-08-2014,root vegetables
1058,07-08-2014,yogurt
1058,10-11-2015,other vegetables
1058,10-11-2015,root vegetables
1058,24-05-2014,chicken
1058,24-05-2014,other vegetables
1059,11-06-2014,dessert
1059,11-06-2014,spread cheese
1059,14-06-2014,cling film/bags
1059,14-06-2014,salty snack
1059,14-06-2014,sausage
1061,05-09-2015,Instant food products
1061,05-09-2015,margarine
1061,05-09-2015,root vegetables
1061,05-09-2015,tropical fruit
1061,05-09-2015,whole milk
1061,17-03-2014,bottled beer
1061,17-03-2014,fruit/vegetable juice
1061,17-03-2014,soda
1061,19-05-2014,beef
1061,19-05-2014,chocolate
1061,23-10-2014,beverages
1061,23-10-2014,dessert
1061,31-07-2014,hard cheese
1061,31-07-2014,whipped/sour cream
1062,07-11-2014,ham
1062,07-11-2014,ketchup
1062,07-11-2014,whipped/sour cream
1062,08-05-2014,frozen fruits
1062,08-05-2014,white bread
1062,16-04-2015,long life bakery product
1062,16-04-2015,other vegetables
1062,16-04-2015,tropical fruit
1062,16-04-2015,whole milk
1062,18-09-2015,butter
1062,18-09-2015,other vegetables
1062,18-09-2015,shopping bags
1062,18-09-2015,whole milk
1062,18-09-2015,yogurt
1062,26-01-2014,sauces
1062,26-01-2014,whole milk
1063,07-06-2014,citrus fruit
1063,07-06-2014,whole milk
1063,23-01-2015,candy
1063,23-01-2015,rolls/buns
1064,03-09-2014,root vegetables
1064,03-09-2014,whole milk
1064,21-04-2014,cream cheese 
1064,21-04-2014,rolls/buns
1064,25-07-2015,long life bakery product
1064,25-07-2015,other vegetables
1064,25-07-2015,root vegetables
1065,05-11-2014,rolls/buns
1065,05-11-2014,tropical fruit
1065,13-11-2015,frankfurter
1065,13-11-2015,tropical fruit
1065,14-01-2014,long life bakery product
1065,14-01-2014,rum
1065,14-01-2014,tropical fruit
1065,14-01-2014,whole milk
1065,23-01-2014,hamburger meat
1065,23-01-2014,soda
1065,25-12-2014,frozen fish
1065,25-12-2014,red/blush wine
1065,27-10-2015,beef
1065,27-10-2015,dessert
1066,01-02-2014,bottled beer
1066,01-02-2014,root vegetables
1066,12-06-2014,oil
1066,12-06-2014,shopping bags
1066,15-05-2014,other vegetables
1066,15-05-2014,whole milk
1067,05-03-2015,tropical fruit
1067,05-03-2015,whole milk
1067,08-04-2015,hamburger meat
1067,08-04-2015,pork
1067,20-07-2015,chocolate
1067,20-07-2015,coffee
1067,20-07-2015,rolls/buns
1067,20-07-2015,tropical fruit
1068,01-07-2015,pork
1068,01-07-2015,spread cheese
1068,08-03-2014,soda
1068,08-03-2014,yogurt
1069,18-12-2014,domestic eggs
1069,18-12-2014,salt
1069,20-01-2014,pork
1069,20-01-2014,rolls/buns
1069,20-05-2014,brown bread
1069,20-05-2014,fruit/vegetable juice
1069,20-08-2015,bottled beer
1069,20-08-2015,dishes
1069,20-08-2015,sliced cheese
1069,20-08-2015,tropical fruit
1070,05-11-2014,cream cheese 
1070,05-11-2014,newspapers
1070,10-04-2014,citrus fruit
1070,10-04-2014,red/blush wine
1071,26-09-2014,fruit/vegetable juice
1071,26-09-2014,roll products 
1071,26-09-2014,yogurt
1072,23-06-2014,ham
1072,23-06-2014,other vegetables
1072,23-10-2015,canned beer
1072,23-10-2015,frankfurter
1073,03-12-2015,brown bread
1073,03-12-2015,dishes
1073,03-12-2015,finished products
1073,05-06-2014,bottled water
1073,05-06-2014,domestic eggs
1073,05-06-2014,yogurt
1073,08-06-2015,curd
1073,08-06-2015,pip fruit
1073,08-06-2015,pip fruit
1073,08-06-2015,prosecco
1073,21-03-2014,brown bread
1073,21-03-2014,salt
1074,04-02-2014,ketchup
1074,04-02-2014,semi-finished bread
1074,08-05-2014,oil
1074,08-05-2014,shopping bags
1074,16-10-2015,flower (seeds)
1074,16-10-2015,fruit/vegetable juice
1074,24-06-2015,instant coffee
1074,24-06-2015,misc. beverages
1074,29-01-2014,candy
1074,29-01-2014,detergent
1075,19-06-2014,UHT-milk
1075,19-06-2014,canned fish
1075,19-11-2015,bottled water
1075,19-11-2015,citrus fruit
1075,19-11-2015,frankfurter
1075,19-11-2015,fruit/vegetable juice
1075,20-07-2015,dishes
1075,20-07-2015,frankfurter
1075,20-07-2015,frozen meals
1075,29-01-2015,pip fruit
1075,29-01-2015,rolls/buns
1076,12-06-2015,bottled water
1076,12-06-2015,butter
1076,12-06-2015,sausage
1076,14-05-2015,bottled water
1076,14-05-2015,butter
1076,14-05-2015,chicken
1076,14-05-2015,frankfurter
1076,14-10-2015,coffee
1076,14-10-2015,ham
1076,14-10-2015,whole milk
1076,14-10-2015,whole milk
1076,24-12-2014,brown bread
1076,24-12-2014,sausage
1077,07-10-2014,butter
1077,07-10-2014,other vegetables
1077,12-09-2015,soda
1077,12-09-2015,tropical fruit
1077,17-07-2014,pasta
1077,17-07-2014,pastry
1077,29-09-2014,brown bread
1077,29-09-2014,white bread
1077,30-08-2014,artif. sweetener
1077,30-08-2014,canned beer
1077,30-08-2014,rolls/buns
1077,30-08-2014,soda
1077,30-12-2014,rolls/buns
1077,30-12-2014,root vegetables
1078,28-08-2014,chicken
1078,28-08-2014,soda
1078,28-10-2015,coffee
1078,28-10-2015,curd
1078,28-10-2015,frankfurter
1078,28-10-2015,rolls/buns
1078,28-10-2015,white bread
1079,07-10-2014,bottled water
1079,07-10-2014,red/blush wine
1079,07-10-2014,sweet spreads
1079,09-09-2015,napkins
1079,09-09-2015,onions
1079,09-09-2015,rolls/buns
1080,02-11-2014,canned beer
1080,02-11-2014,soda
1080,14-05-2015,frozen vegetables
1080,14-05-2015,pet care
1080,14-05-2015,root vegetables
1081,03-05-2015,baking powder
1081,03-05-2015,bottled beer
1081,03-05-2015,specialty bar
1081,03-05-2015,tropical fruit
1081,03-05-2015,yogurt
1081,06-03-2015,frankfurter
1081,06-03-2015,newspapers
1081,06-03-2015,other vegetables
1081,06-03-2015,pastry
1081,06-03-2015,whole milk
1081,11-02-2014,beverages
1081,11-02-2014,yogurt
1081,21-01-2015,tropical fruit
1081,21-01-2015,whole milk
1081,25-04-2015,butter milk
1081,25-04-2015,coffee
1082,13-05-2014,beef
1082,13-05-2014,margarine
1082,13-05-2014,other vegetables
1082,20-03-2014,bottled water
1082,20-03-2014,hygiene articles
1083,06-02-2015,pork
1083,06-02-2015,sliced cheese
1083,15-07-2014,bathroom cleaner
1083,15-07-2014,soda
1083,15-07-2014,specialty chocolate
1083,15-11-2014,hamburger meat
1083,15-11-2014,whole milk
1084,18-04-2014,other vegetables
1084,18-04-2014,pip fruit
1085,15-08-2015,citrus fruit
1085,15-08-2015,root vegetables
1085,24-04-2014,other vegetables
1085,24-04-2014,shopping bags
1085,24-04-2014,soda
1085,25-05-2014,newspapers
1085,25-05-2014,yogurt
1086,10-12-2014,ice cream
1086,10-12-2014,whipped/sour cream
1086,17-11-2015,beef
1086,17-11-2015,butter
1086,17-11-2015,curd
1086,17-11-2015,other vegetables
1086,17-11-2015,soda
1086,26-09-2014,canned beer
1086,26-09-2014,herbs
1086,26-09-2014,margarine
1086,27-07-2014,rolls/buns
1086,27-07-2014,soda
1086,28-12-2015,citrus fruit
1086,28-12-2015,rolls/buns
1087,11-12-2014,berries
1087,11-12-2014,coffee
1087,13-10-2014,ham
1087,13-10-2014,white bread
1087,14-08-2015,cake bar
1087,14-08-2015,herbs
1087,14-08-2015,pot plants
1087,16-12-2014,flower (seeds)
1087,16-12-2014,jam
1087,16-12-2014,soda
1087,19-03-2015,chocolate
1087,19-03-2015,pip fruit
1087,19-03-2015,sausage
1087,19-06-2014,specialty chocolate
1087,19-06-2014,white bread
1087,20-04-2014,whole milk
1087,20-04-2014,whole milk
1087,25-07-2014,other vegetables
1087,25-07-2014,whole milk
1087,26-02-2014,beverages
1087,26-02-2014,sausage
1088,09-11-2015,hard cheese
1088,09-11-2015,whole milk
1088,14-01-2015,berries
1088,14-01-2015,yogurt
1088,30-11-2015,baking powder
1088,30-11-2015,domestic eggs
1088,30-11-2015,meat
1088,30-11-2015,other vegetables
1088,30-11-2015,tropical fruit
1089,05-12-2014,sauces
1089,05-12-2014,yogurt
1090,04-10-2015,beef
1090,04-10-2015,yogurt
1090,21-10-2015,ice cream
1090,21-10-2015,whole milk
1090,31-08-2015,detergent
1090,31-08-2015,dishes
1090,31-08-2015,napkins
1090,31-08-2015,pastry
1090,31-08-2015,sausage
1090,31-08-2015,specialty chocolate
1090,31-08-2015,whisky
1090,31-08-2015,yogurt
1092,03-07-2015,photo/film
1092,03-07-2015,shopping bags
1092,09-10-2015,bottled beer
1092,09-10-2015,frankfurter
1092,09-10-2015,other vegetables
1092,10-12-2014,newspapers
1092,10-12-2014,yogurt
1092,16-05-2015,frozen vegetables
1092,16-05-2015,other vegetables
1092,16-05-2015,root vegetables
1092,16-05-2015,soda
1092,16-05-2015,specialty bar
1092,27-07-2015,Instant food products
1092,27-07-2015,bottled beer
1092,27-07-2015,bottled water
1092,27-07-2015,domestic eggs
1092,27-07-2015,grapes
1092,27-07-2015,rolls/buns
1092,27-07-2015,salty snack
1092,27-07-2015,sausage
1093,28-03-2015,dessert
1093,28-03-2015,domestic eggs
1094,07-01-2015,misc. beverages
1094,07-01-2015,root vegetables
1094,07-01-2015,sausage
1094,07-01-2015,tropical fruit
1094,08-09-2015,sausage
1094,08-09-2015,whole milk
1094,11-03-2014,brown bread
1094,11-03-2014,whole milk
1094,11-12-2014,detergent
1094,11-12-2014,flour
1094,11-12-2014,hamburger meat
1094,16-05-2015,soda
1094,16-05-2015,tropical fruit
1094,18-08-2014,newspapers
1094,18-08-2014,salty snack
1094,24-07-2014,pasta
1094,24-07-2014,waffles
1094,24-07-2014,whole milk
1094,26-08-2014,chocolate marshmallow
1094,26-08-2014,other vegetables
1095,06-08-2014,flour
1095,06-08-2014,pickled vegetables
1095,25-03-2014,shopping bags
1095,25-03-2014,yogurt
1095,30-10-2015,bottled water
1095,30-10-2015,domestic eggs
1095,30-10-2015,packaged fruit/vegetables
1095,30-10-2015,pork
1096,28-07-2015,fruit/vegetable juice
1096,28-07-2015,pip fruit
1097,01-11-2015,curd
1097,01-11-2015,soda
1097,01-11-2015,tropical fruit
1097,01-11-2015,whole milk
1097,03-05-2014,root vegetables
1097,03-05-2014,shopping bags
1097,12-10-2014,curd
1097,12-10-2014,shopping bags
1097,12-10-2014,whipped/sour cream
1097,16-04-2014,cake bar
1097,16-04-2014,sausage
